state_abbr,state_name,order_month,total_orders
RO,Rondonia,2018-08,8
RR,Roraima,2018-01,1
RR,Roraima,2018-02,3
RR,Roraima,2018-03,5
RR,Roraima,2018-04,2
RR,Roraima,2018-05,1
RR,Roraima,2018-06,5
RR,Roraima,2018-07,5
RS,Rio Grande do Sul,2018-01,367
RS,Rio Grande do Sul,2018-02,363
RS,Rio Grande do Sul,2018-03,407
RS,Rio Grande do Sul,2018-04,345
RS,Rio Grande do Sul,2018-05,350
RS,Rio Grande do Sul,2018-06,304
RS,Rio Grande do Sul,2018-07,308
RS,Rio Grande do Sul,2018-08,293
SC,Santa Catarina,2018-01,311
SC,Santa Catarina,2018-02,254
SC,Santa Catarina,2018-03,247
SC,Santa Catarina,2018-04,245
SC,Santa Catarina,2018-05,226
SC,Santa Catarina,2018-06,205
SC,Santa Catarina,2018-07,195
SC,Santa Catarina,2018-08,201
SE,Sergipe,2018-01,19
SE,Sergipe,2018-02,15
SE,Sergipe,2018-03,17
SE,Sergipe,2018-04,13
SE,Sergipe,2018-05,8
SE,Sergipe,2018-06,25
SE,Sergipe,2018-07,26
SE,Sergipe,2018-08,23
SP,Sao Paulo,2018-01,2975
SP,Sao Paulo,2018-02,2632
SP,Sao Paulo,2018-03,2971
SP,Sao Paulo,2018-04,3002
SP,Sao Paulo,2018-05,3138
SP,Sao Paulo,2018-06,2735
SP,Sao Paulo,2018-07,2712
SP,Sao Paulo,2018-08,3164
TO,Tocantins,2018-01,16
TO,Tocantins,2018-02,20
TO,Tocantins,2018-03,20
TO,Tocantins,2018-04,19
TO,Tocantins,2018-05,16
TO,Tocantins,2018-06,18
TO,Tocantins,2018-07,22
TO,Tocantins,2018-08,13
